META DATA;DI;EXPLANATION
;B;Container Type (internally assigned or mutually defined).
;1B;Returnable Container Identification Code assigned by the container owner or the appropriate regulatory agency (e.g., a metal tub, basket, reel, unit load device (ULD), trailer, tank, or intermodal container) (excludes gas cylinders See "2B").
;2B;Gas Cylinder Container Identification Code assigned by the manufacturer in conformance with U.S. Department of Transportation (D.O.T.) standards.
;3B;Motor Freight Transport Equipment Identification Code assigned by the manufacturer in conformance with International Organization for Standardization (ISO) standards.
;4B;Standard Carrier Alpha Code (SCAC) (4 alphanumeric characters) and an optional carrier assigned trailer number (one to ten alphanumeric characters). When used, the carrier assigned trailer number is separated from the SCAC by a dash "-".
an2+an1...35;5B;Receptacle Asset Number -- Consisting of two joined parts: A) Identification of an organization in accordance with ISO/IEC 15459 and a unique entity identification assigned in accordance with rules established by the issuing agency. B) A unique serial number assigned by the entity, ending with a 3-character container type code taken from EDIFACT Code List 8053 or UPU standard M82-3. (If the container type code listed is less than three characters in length, the field will be dash "-" filled left to the length of three characters).
an2+an11;7B;Container Serial Number. According to ISO 6346. OC EI CSN CD, where the OC is the three letter owner code assigned in cooperation with BIC, the EI is the one letter equipment category identifier, the CSN is a 6-digit unique container identification assigned by the equipment owner, and CD is a modulus 11 check digit calculated in accordance with Annex A, ISO 6346.
an2+an3;8B;Identification of a Returnable Container owner assigned in cooperation with BIC.
an2+an4;9B;Container Size/Type Code. According to ISO 6346, §4.2.
an3+an4;10B;Container Ownership Code. Actual four-character abbreviation marked on the container by the owner. For DOD owned containers see Defense Transportation Regulation App EE-6.
;11B;Van Number (complete number minus check digit).
;12B;Check digit of Van Number identified in 11B.
;13B;Container Number Code (last 5 digits of number not counting check digit).
an3+a1;14B;Tag Status: Y=Authorized / N=Unauthorized
an3+an1...4;15B;Dangerous Cargo Class. IMDG Class in the format "n.na" where n = numeric, decimal point expressly encoded, and a = conditional alphabetic qualifier. http://docs.imo.org/
an3+an4;16B;UN Code for Dangerous Goods. For dangerous cargo provided by shipper in accordance with UN Code. www.unece.org/trans/danger/publi/unrec/English/part3.pdf
an3+an1...35;17B;Name Of Transportation Subject. Vessel name or vehicle code/train trip number in English.
an3+an3+n7;18B;Vessel Registration Number. The three letters "IMO" followed by the seven-digit number assigned to all ships by IHS Fairplay when constructed. http://www.imonumbers.lrfairplay.com/
an3+an18;19B;Voyage number/Trip number. Letter and number.
an3+an2;20B;Vessel Country. ISO 3166-1 Alpha 2 Code.
an3+6;21B;Reserved for Electronic Seal Numbers. Comprised of the 18185-1 seal tag ID - 32 bits and the ISO 14816 16-bit manufacturers ID (ISO 646).
an3+an11+n2;22B;Entry Number/Type. Comprised of the three-digit filer code, followed by the seven-digit entry number, and completed with the one digit check digit. Entry Filer Code represents the three-character alphanumeric filer code assigned to the filer or importer by CBP. Entry Number represents the seven-digit number assigned by the filer. The number may be assigned in any manner convenient, provided that the same number is not assigned to more than one CBP Form 7501. Leading zeros must be shown. Check Digit is computed on the previous 10 characters. The formula for calculating the check digit can be found in Appendix 1, CBP 7501 Instructions. Entry type is a two-digit code compliant to Block 2, CBP 7501 Instructions.
an3+n3;23B;Surety Number. The three-digit numeric code that identifies the surety company on the Customs Bond. This code can be found in block 7 of the CBP Form 301, or is available through CBP's automated system to ABI filers, via the importer bond query transaction. For U.S. Government importations and entry types not requiring surety, code 999 should appear in this block. When cash or Government securities are used in lieu of surety, use code 998.
an3+n5;24B;Foreign Port of Lading. "Schedule K" (Classification of Foreign Ports by Geographic Trade Area and Country) for the foreign port at which the merchandise was actually laden on the vessel that carried the merchandise to the U.S. http://www.navigationdatacenter.us/wcsc/scheduleK/schedulek.htm
an3+an1...35;25B;Identification of a Party to a Transaction as defined in ISO 17364, assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the RTI serial number that is unique within the CIN holder's domain.
;26B;Unique Returnable Transport Item Identifier comprised of a sequence of 5 data elements: "IAC", followed by "CIN", followed by "RTI Number" (RTIN), followed by the "+" character, followed by the supplier assigned (or managed) "RTI Serial Number" (RTISN) that is globally unique within the CIN holder's domain, in the format IAC CIN RTIN + RTISN (spaces added for visual clarity only, they are not part of the data). See Annex C.11.
an3+an20...50;27B;Globally Unique Asset Identifier of a Large Load Carrier (LLC) Returnable Transport Item (RTI) with a side base of ≥ 1000 mm, as defined in ISO 17365:2013, tertiary packaging, layer 3 comprised of a sequence of 5 data elements: "IAC", followed by "CIN", followed by RTI Type Code "RTITC", followed by the "+" character, followed by the owner assigned (or managed) RTI Serial Number "RTISN" that is globally unique within the CIN holder´s domain in the format IAC CIN RTITC + RTISN (spaces added for visual clarity only, they are not part of the data).
an3+an20...50;28B;Globally Unique Asset Identifier of a Small Load Carrier (SLC) Returnable Transport Item with a side base of < 1000 mm, as defined in ISO 17364:2013 (RTI), tertiary packaging, layer 2 comprised of a sequence of 5 data elements: "IAC", followed by "CIN", followed by RTI Type Code "RTITC", followed by the "+" character, followed by the owner assigned (or managed) RTI Serial Number "RTISN" that is globally unique within the CIN holder´s domain in the format IAC CIN RTITC + RTISN (spaces added for visual clarity only, they are not part of the data).
an3+an1...50;29B;Globally Unique Returnable Packaging Item (RPI) identifier of the category packaging aid (lid, blister, inlay, ...) comprised of a sequence of 5 data elements: "IAC", followed by "CIN", followed by "RPI Number" RPIN, followed by the "+" character, followed by the owner assigned (or managed) "RPI Serial Number" RPISN that is globally unique within the CIN holder´s domain in the format IAC CIN RPIN + RPISN (spaces added for visual clarity only, they are not part of the data).
an3+an2...35;30B;Packaging Item Number. Number to identify the type of packaging item (material) used when packing products and packages. The number will enable packaging item (material) be identified and separated from products, packages, Returnable Transport Items (RTIs) and Returnable Packaging Items (RPIs) during packing. The number is constructed as a sequence of minimum 1 data element: Packaging item (material) number that is unique within the holder's domain.
an3+an6...35;31B;Global Unique Packaging Number. Global unique number to identify the type of packaging item (material) used when packing products and packages. The global unique number will enable packaging items (materials) be identified and separated from products, packages, Returnable Transport Items (RTIs) and Returnable Packaging Items (RPIs) during packing. The number is constructed as a sequence of 3 concatenated data elements: The IAC, followed by the CIN, followed by the Packaging item (material) number that is unique within the CIN holder's domain.
